_id,name,slug
e1152e27-d41f-4b34-b3b1-faac7dba9380,"Квиз, плиз! SPB",quiz-please-spb
c799f8ff-1597-4afa-b262-eb6397eadbb4,[кино и музыка] SPB,kino-i-muzyka-spb
1b456360-b95e-49da-b06b-9e8ae7a85b0a,[Назад в СССР] SPB,nazad-v-sssr-spb
f72a415d-b24b-4663-b862-8b014cd5fefa,[Гарри Поттер] SPB,garri-potter-spb
2cb4e29e-b1a6-4584-b67a-91f66999e4eb,[Битва IT],bitva-it
5c294fd1-667c-4eb9-a11f-f5cc22c696cd,ОТКРЫТИЕ ЛЕТНЕГО СЕЗОНА,otkrytie-letnego-sezona
154c9c26-5bab-40e0-bdf8-a085df6ae11e,[Битва банков],bitva-bankov
bbd2fa9d-2e3c-4cd0-8c61-5c38d06137e9,[teens] SPB,teens-spb
dc4acf29-8b79-4473-b121-268bde61aa9f,[Звездные войны],zvezdnye-vojny
4d00c21e-f343-43fb-9574-4a91da61b8fc,[кино и музыка],kino-i-muzyka
eb12b4b3-a828-429d-93f9-b50ed67a5cd6,[Игра престолов],igra-prestolov
d4e8821b-8d97-449d-8d0e-bc657a49eb10,[Битва городов],bitva-gorodov
40043a36-73b5-42de-8c22-838894c9a038,[назад в 90-е] SPB,nazad-v-90-e-spb
88c2edc4-b190-430d-970b-ed490e66e0fb,[Чаки vs Рембо] SPB,chaki-vs-rembo-spb
7d765dc1-ce41-4182-866b-230922fe23ba,[Секс в большом городе],seks-v-bolshom-gorode
f99277a1-c3bd-4944-bb04-77b11a2b850e,"Квиз, плиз!",quiz-please
f790f1cc-8c88-48d2-98a3-b41429d2f923,[Джеймс Бонд],dzhejms-bond
78b59413-724a-447c-9fa5-906c5e2076ee,ОТКРЫТИЕ ВЕСЕННЕГО СЕЗОНА [финал],otkrytie-vesennego-sezona-final
61862c27-e98b-43e3-ae86-279c4abc4b75,[полуфинал],polufinal
acc3cda8-e7ce-48aa-8161-96a830dfadce,[Властелин колец],vlastelin-kolec
71386668-48cf-4e56-b6bf-05c9f6a28f30,[Теория большого взрыва],teoriya-bolshogo-vzryva
f3064b13-6336-4a15-bed0-40ccc2df64a9,[HELLO 2019],hello-2019
a0496672-2a71-4e42-bbf3-1783701bef46,[MARVEL],marvel
38eb0c79-ba65-49ec-9ee4-290976f17266,ОТКРЫТИЕ ЗИМНЕГО СЕЗОНА,otkrytie-zimnego-sezona
c30cb72d-0df6-4f3f-a745-1b1e0a569751,#финал,final
38b7ac07-b2c2-41d5-95c4-db0260aa1b20,"II Чемпионат мира по Квиз, плиз! [ФИНАЛ]",ii-chempionat-mira-po-quiz-please-final
c8f24a37-1993-4d76-956d-a043190968a8,#полуфинал,polufinal
03c3fadf-5a3b-44c6-a6c4-d1178a02ef1a,"II Чемпионат мира по Квиз, плиз! [полуфинал] #2",ii-chempionat-mira-po-quiz-please-polufinal-2
75606e49-153f-45e3-b9ac-46ab8e9a9595,[HALLOWEEN],halloween
1ee5670d-d20d-4469-878e-1a551c6c60db,"II Чемпионат мира по Квиз, плиз! [полуфинал] #1",ii-chempionat-mira-po-quiz-please-polufinal-1
9ed11b0e-c69c-43b3-9b66-fd7425b6129e,#четвертьфинал,chetvertfinal
86862419-9411-49f1-9d14-999d86c0e3df,"II Чемпионат мира по Квиз, плиз! [четвертьфинал] #4",ii-chempionat-mira-po-quiz-please-chetvertfinal-4
cc1c494d-957d-4059-908f-7cb44d17528c,"II Чемпионат мира по Квиз, плиз! [четвертьфинал] #3",ii-chempionat-mira-po-quiz-please-chetvertfinal-3
7a17d3d1-e3d0-44f6-85fb-efdd13d73ddb,"II Чемпионат мира по Квиз, плиз! [четвертьфинал] #2",ii-chempionat-mira-po-quiz-please-chetvertfinal-2
f967d694-72b7-4f12-b905-07d58219727d,"II Чемпионат мира по Квиз, плиз! [четвертьфинал] #1",ii-chempionat-mira-po-quiz-please-chetvertfinal-1
8282d9c3-df40-425e-b568-ba0eb76ab497,[Гарри Поттер],garri-potter
a1b8cee7-1c56-470e-aa50-2d0651ccc500,ОТКРЫТИЕ ОСЕННЕЙ СЕРИИ ИГР,otkrytie-osennej-serii-igr
d30a61e1-cd67-422a-895e-a05199834542,[про футбол],pro-futbol
ed863974-245e-4b13-85b2-2835e91bd355,"ОТКРЫТИЕ ЛЕТНЕЙ СЕРИИ ИГР КВИЗ, ПЛИЗ!",otkrytie-letnej-serii-igr-quiz-please
ad785e25-a0fb-4bc2-9831-44b3f0fd571d,ОТКРЫТИЕ ВЕСЕННЕЙ СЕРИИ ИГР,otkrytie-vesennej-serii-igr
a4870f5e-6c20-4a85-9d02-1902539e3d1f,Квиз: плиз! SPB,quiz-please-spb
7f172cd7-5050-4959-a577-5dd5bd893077,"ОТКРЫТИЕ ЗИМНЕЙ СЕРИИ ИГР КВИЗ, ПЛИЗ! SPB",otkrytie-zimnej-serii-igr-quiz-please-spb
aa4635cc-e923-4f83-85e4-6dc91d63bf14,"Квиз, плиз! SPB СУПЕРИГРА",quiz-please-spb-superigra
769568b9-68fa-4127-94a1-81e5651f6405,[музыка] шазам SPB,muzyka-shazam-spb
33286431-7984-4bbf-9d70-f8f3aa4f8428,1990е VS 2000е [стрим] SPB,1990e-vs-2000e-strim-spb
16a410b8-fb8e-4d46-a426-f7ad6eedc62a,"Квиз, плиз! [стрим] SPB",quiz-please-strim-spb
2724247b-a034-45e5-b7f7-d28c78df1043,ОТКРЫТИЕ ВЕСЕННЕГО СЕЗОНА [финал] SPB,otkrytie-vesennego-sezona-final-spb
09259303-e230-4e88-a28d-e3db01bb5d88,Путешествия [стрим] SPB,puteshestviya-strim-spb
765476a7-aad9-4b59-9796-12c7cc2b524a,[кино и музыка] бруталити SPB,kino-i-muzyka-brutaliti-spb
96fd00e8-c5fb-4a89-bff3-ff52d31dafb5,Кино и музыка [стрим] SPB,kino-i-muzyka-strim-spb
a2c15fec-8d92-4ecd-a7a4-d556e2d8c848,"[English, please!] SPB",english-please-spb
574eb675-abb7-405f-9eaa-315c571b65fe,[1990е VS 2000е] SPB,1990e-vs-2000e-spb
6dfb7be4-61b2-4954-b332-d6a6df4d6d3f,[OVER 1000] SPB,over-1000-spb
5b1a1048-0e68-4812-aea4-22032b308281,Церемония открытия сезона игр [кино и музыка] SPB,ceremoniya-otkrytiya-sezona-igr-kino-i-muzyka-spb
2ae13410-5c25-482a-bd6a-d39cbe499035,Музыка. Шазам [стрим] SPB,muzyka-shazam-strim-spb
a1d033b5-abf7-4275-b0df-b562925c5d95,[путешествия] SPB,puteshestviya-spb
83b54546-b681-4425-8e9a-89952ea68d51,Гарри Поттер [стрим] SPB,garri-potter-strim-spb
3224e667-63b8-4f04-bb3e-20e4a6fd5cf0,Кино и музыка: Happy New Year [стрим] SPB,kino-i-muzyka-happy-new-year-strim-spb
9fe8c324-25fe-4d17-9826-7faf6265f4c7,2010-2020 [стрим] SPB,2010-2020-strim-spb
0a0adab6-f84b-4b2d-aa5c-2430f75f638d,[кино и музыка] Happy New Year SPB,kino-i-muzyka-happy-new-year-spb
f04a4afe-9932-46a3-8b0f-7ea926b524b4,[2010-2020] SPB,2010-2020-spb
417d894f-f6c9-4a2b-b03d-7697afd879ee,Назад в 90-е [стрим] SPB,nazad-v-90-e-strim-spb
ffde99af-62a9-4a32-aab9-3ecfc9eb107e,ОТКРЫТИЕ ЗИМНЕГО СЕЗОНА [финал] SPB,otkrytie-zimnego-sezona-final-spb
04a34be0-1a96-469f-8e53-c7085c2b368a,Кино и музыка: Рашн эдишн [стрим] SPB,kino-i-muzyka-rashn-edishn-strim-spb
45f6145d-e5fb-46f8-b245-bf8c2367cf97,[кино и музыка] рашн эдишн SPB,kino-i-muzyka-rashn-edishn-spb
c64986db-71b6-4a3b-87db-e942cfbff449,Кино и музыка. Хэллоуин [стрим] SPB,kino-i-muzyka-hellouin-strim-spb
26bfaf2a-50b8-435f-bd87-3a6709a07475,[кино и музыка] Хэллоуин SPB,kino-i-muzyka-hellouin-spb
33db51f6-d600-4a87-89b7-d907ed6220ad,Назад в 2000-е [стрим] SPB,nazad-v-2000-e-strim-spb
002b8333-62cb-4eff-a797-c299abcd6e42,[назад в 2000-е] SPB,nazad-v-2000-e-spb
0a563ee5-468c-4a3a-b5ee-9369a4514f4f,[кино. топ-250] SPB,kino-top-250-spb
88cdec45-31fd-4386-83bd-828d2062c02e,[рок] SPB,rok-spb
e846f462-6129-49e7-b969-a8318cc3889f,ОТКРЫТИЕ ОСЕННЕГО СЕЗОНА [финал] SPB,otkrytie-osennego-sezona-final-spb
206f2a53-22f4-460b-ac1b-ee6a9aaa50be,[назад в школу] SPB,nazad-v-shkolu-spb
e9c10d1c-0391-4cb8-9ec4-72458799c9b8,Сериалы [стрим] SPB,serialy-strim-spb
f4cace13-3ab3-4f18-b7fe-21909930e77f,[сериалы] SPB,serialy-spb
42621814-85b6-424f-8d51-5d22be0e0aae,[литература] SPB,literatura-spb
f3dbfb2a-2c96-4f36-982d-1b179514a841,[мультики] SPB,multiki-spb
b03fe7ea-56ff-444a-b57d-f2ff54075e34,Музыка [стрим] SPB,muzyka-strim-spb
42bc808e-808f-45b9-b794-ea4126c20d29,[музыка] SPB,muzyka-spb
555d5b56-53ba-4ebe-94e3-78d9dae583cd,"Окей, гугл! [стрим] SPB",okej-gugl-strim-spb
e9223409-2897-4b13-890a-d0908a551839,Литература [стрим] SPB,literatura-strim-spb
65d70643-c331-4fa8-8bb5-fc9bdc186a06,Кино. Топ-250 [стрим] SPB,kino-top-250-strim-spb
5ee750ba-c3ce-406a-b128-bf07262834d6,Назад в СССР [стрим] SPB,nazad-v-sssr-strim-spb
8964ea75-6910-4014-835b-4716e306515d,Звёздные войны [стрим] SPB,zvyozdnye-vojny-strim-spb
9d721382-6407-4178-987b-28da49c60fae,Мультики [стрим] SPB,multiki-strim-spb
02d5f1b3-8a8e-4792-9a80-adae430cba27,Властелин колец [стрим] SPB,vlastelin-kolec-strim-spb
380b6f3e-5318-40ca-854e-d5183cb202cd,Компьютерные игры [стрим] SPB,kompyuternye-igry-strim-spb
66be5905-3670-4245-9cb6-ee6fb20503c3,Кино и музыка 80е vs 90е [стрим] SPB,kino-i-muzyka-80e-vs-90e-strim-spb
a71bb883-4ab4-4546-bfb2-c02d2a5d5090,Игра престолов [стрим] SPB,igra-prestolov-strim-spb
38b5dc5a-3391-4505-b281-ea7dd3212c20,Назад в школу [стрим] SPB,nazad-v-shkolu-strim-spb
61647023-e8a0-4c37-9cc5-f9364519cd1e,Кино и музыка 2010-х [стрим] SPB,kino-i-muzyka-2010-h-strim-spb
788bdf01-45ad-4fd2-9307-39bcd6ba631e,Marvel VS DC [стрим] SPB,marvel-vs-dc-strim-spb
8555d445-f55f-476b-bb8b-f5bddc1728c3,18+ [стрим] SPB,18-plus-strim-spb
c68fbafd-f379-47cc-b8ed-820a17b95085,"Квиз, плиз! Без границ [стрим] SPB",quiz-please-bez-granic-strim-spb
c027e42e-996c-471b-ab79-1cf5e47add39,Кино и музыка СССР [стрим] SPB,kino-i-muzyka-sssr-strim-spb
6afa6ff4-1214-4697-89b6-9f25e6d8fac4,Teens [стрим] SPB,teens-strim-spb
cc5dd197-2561-4912-89c7-f41c698ec63f,[18+] SPB,18-plus-spb
95e30377-90ef-47e8-bb1e-f9cff9184ce8,[новички] SPB,novichki-spb
934522f1-08db-4e87-a4b3-9e80f939491a,[Event-битва] SPB,event-bitva-spb
276939b5-de16-4d85-bfc8-6fbe558fcc3e,[кино и музыка] 2000-х SPB,kino-i-muzyka-2000-h-spb
15ab978e-b08d-4f8d-b348-ca6f2e215206,[кино и музыка] 90-х SPB,kino-i-muzyka-90-h-spb
4e0ce0c3-9666-4572-80aa-d069848eabb9,[конец эпохи 2010-х] SPB,konec-epohi-2010-h-spb
e6211912-caa5-40e2-9b9b-61b7c23852e6,[HELLO 2020] SPB,hello-2020-spb
42692470-3f65-418d-bb3b-91b33bf94071,[Битва городов] SPB,bitva-gorodov-spb
db024971-fed1-4e63-a553-55e23a58224e,[Как я встретил вашу маму] SPB,kak-ya-vstretil-vashu-mamu-spb
8987b824-f19a-4f49-8a9a-220f31c1ada7,[про спорт] SPB,pro-sport-spb
6f34eef8-81e3-4259-9e65-8ee961126c96,[кино и музыка] СССР SPB,kino-i-muzyka-sssr-spb
c88b0ba9-112d-4f1b-a8be-e897678994d5,[HALLOWEEN] SPB,halloween-spb
f2ab6aaf-0575-4b52-b436-07b700ff33e0,"III Чемпионат мира по Квиз, плиз! [1/4] SPB",iii-chempionat-mira-po-quiz-please-14-spb
3772e129-3d27-4561-a4fa-7dbcfbab2cb1,"III Чемпионат мира по Квиз, плиз! [1/8] SPB",iii-chempionat-mira-po-quiz-please-18-spb
9e148a95-5aea-4726-82bd-33f51a8c08fc,"III Чемпионат мира по Квиз, плиз! [отбор] SPB",iii-chempionat-mira-po-quiz-please-otbor-spb
f7f87bc7-1a28-4708-ac9a-b06ad568c7fc,музыка [шазам] 90-е SPB,muzyka-shazam-90-e-spb
47258ca6-d27e-46ba-be91-8310b9c55372,[music party] SPB,music-party-spb
6503e708-e980-46bb-8bc2-6d4dcd99aafe,[про кино] 2000-х SPB,pro-kino-2000-h-spb
25fe5f44-36f7-4861-911f-ff3a290f2f7a,Music party [стрим] SPB,music-party-strim-spb
1f56c410-c5df-47cd-8911-b9ecae8d6e5f,[Секс в большом городе] SPB,seks-v-bolshom-gorode-spb
b0597679-db61-4a91-bab7-d6cfe0c2d064,[300к1] SPB,300k1-spb
45f190b3-1400-4c8c-a0f6-5cbd12f28782,ОТКРЫТИЕ ВЕСЕННЕГО СЕЗОНА [полуфинал] SPB,otkrytie-vesennego-sezona-polufinal-spb
bb403cfe-bcd0-4647-8f29-9f9436f8b1ca,Про кино Гарри Поттер [стрим] SPB,pro-kino-garri-potter-strim-spb
2c6aebaf-ed49-4750-b179-039475576354,музыка [шазам] рашн эдишн SPB,muzyka-shazam-rashn-edishn-spb
84f212d6-eee9-4ff6-a8a5-843eb062b367,[a man's world] SPB,a-mans-world-spb
62d5235b-5c1a-4eb5-9710-9bf710fa925b,[назад в 2010-е] SPB,nazad-v-2010-e-spb
a396c7b2-a98c-49b0-a219-ee34aadd166c,[Властелин колец] SPB,vlastelin-kolec-spb
f8bbe7ba-b89b-4dca-91b4-f032f93196eb,"Квиз, плиз! [железные яйца] SPB",quiz-please-zheleznye-yajca-spb
a7884c2e-89b6-4637-ae1c-0ba61e7ea209,Верните мой 2007 [стрим] SPB,vernite-moj-2007-strim-spb
06799549-cad2-48ea-b2e2-1f576874d690,[про кино] Гарри Поттер SPB,pro-kino-garri-potter-spb
214431ee-36f5-4c29-b51a-1f784f470f9f,[верните мой 2007] SPB,vernite-moj-2007-spb
cd5c1229-7d0c-4913-bdbb-705566d39a0f,[рок vs рэп] SPB,rok-vs-rep-spb
1aa33311-ab95-4def-8b80-f114f6008317,HELLO 2022 [стрим] SPB,hello-2022-strim-spb
d1bf0efe-5b80-482a-b773-80367fba316f,"[на чиле, на расслабоне] SPB",na-chile-na-rasslabone-spb
8efc9d35-86d5-4f96-b178-4be419ef35ee,[HELLO 2022] SPB,hello-2022-spb
3f960322-ba10-4018-bbc5-d075e52fe1d8,"Квиз, плиз! [турбо] SPB",quiz-please-turbo-spb
2cc791d8-89ab-4ef5-954d-017a9379fed1,"Квиз, плиз! [на выживание] SPB",quiz-please-na-vyzhivanie-spb
f3b6504f-3a30-45b0-9fec-ff5bef3d4c27,"Квиз, плиз! [сюрприз] SPB",quiz-please-syurpriz-spb
b51f97af-ec22-463d-9196-54820b7af332,[про мемы] SPB,pro-memy-spb
88cf5ec6-c0de-4b17-b77c-ce2e7fa44f5a,Друзья [стрим] SPB,druzya-strim-spb
47a97d8d-249c-4862-bdf8-9394c4969245,[MARVEL] SPB,marvel-spb
dd786e4f-c196-4bde-afb2-398a9da99eab,[про кино] ужасы SPB,pro-kino-uzhasy-spb
61f1c8ae-d657-4359-b1da-8c2626619e50,[80е vs 90е] SPB,80e-vs-90e-spb
801df6c1-5230-4a3b-949a-0fe43e429c22,Видеоигры [стрим] SPB,videoigry-strim-spb
e81a07f8-6ce9-455f-a555-100125d3487d,[видеоигры] SPB,videoigry-spb
ea97bb30-a359-4810-9597-a146a59c4848,Про кино [стрим] SPB,pro-kino-strim-spb
9aa16107-461f-4578-a643-d61fb41ca51a,музыка [шазам] ретро SPB,muzyka-shazam-retro-spb
e64f6c10-b071-40b5-ab9b-8c8e7b976abf,[про кино] SPB,pro-kino-spb
5945e053-bf42-41a7-91ae-06da8cc18565,[про историю] SPB,pro-istoriyu-spb
f6fd39fb-b092-4721-b6a5-966f7f0adc33,ОТКРЫТИЕ ЛЕТНЕГО СЕЗОНА [финал] SPB,otkrytie-letnego-sezona-final-spb
8aac9bb0-97cf-4781-98c8-f75a2c5539ab,"Квиз, плиз! [Про Петербург] SPB",quiz-please-pro-peterburg-spb
a3084004-85f7-4748-b942-378b09a8c973,[Битва городов] МСК vs СПБ SPB,bitva-gorodov-msk-vs-spb-spb
b27b56ad-9eed-4036-9652-4b3abc0a2a5c,Музыка. Шазам: Рашн эдишн [стрим] SPB,muzyka-shazam-rashn-edishn-strim-spb
daf9a23b-71b7-4e48-8849-98789847ffa8,"Квиз, плиз! [WTF] SPB",quiz-please-wtf-spb
998d8645-8429-44d4-bf81-b95e9b4501f7,[кино и музыка] романтика SPB,kino-i-muzyka-romantika-spb
1b28a8ea-e859-4a3a-b1f6-d8e7e5b2a402,[teens] music party SPB,teens-music-party-spb
42c74c69-ff2e-4593-a550-ceabe0e1c8a3,[music party] ностальжи SPB,music-party-nostalzhi-spb
